star_type,temperature,radius_km,distance_ls,distance_au,heat,pred_v82_power,error_v82,abs_error_v82,pred_v80_ergod,error_v80,abs_error_v80,improvement
A8,8130.0,1364071.0,3257.0,6.527054108216433,46.8,45.00124067863006,-1.7987593213699355,1.7987593213699355,90.82634981832422,44.02634981832422,44.02634981832422,42.227590496954285
A8,8130.0,1364071.0,3567.0,7.148296593186373,43.9,42.43320603112622,-1.4667939688737803,1.4667939688737803,89.99833645643201,46.098336456432015,46.098336456432015,44.631542487558235
A8,8130.0,1364071.0,4859.0,9.7374749498998,34.7,33.91637116992093,-0.7836288300790741,0.7836288300790741,86.62790129883635,51.927901298836346,51.927901298836346,51.14427246875727
A8,8130.0,1364071.0,5816.0,11.655310621242483,29.8,29.25556222137048,-0.544437778629522,0.544437778629522,84.21301948750309,54.41301948750309,54.41301948750309,53.86858170887357
A8,8130.0,1364071.0,8119.0,16.27054108216433,22.1,21.49637481974728,-0.6036251802527275,0.6036251802527275,78.67398762642203,56.57398762642203,56.57398762642203,55.970362446169304
A7,8539.0,1421699.0,511.0,1.0240480961923848,88.7,87.26285865428734,-1.4371413457126607,1.4371413457126607,98.76205742455372,10.062057424553714,10.062057424553714,8.624916078841053
A7,8539.0,1421699.0,872.0,1.74749498997996,81.2,79.77516643316063,-1.424833566839368,1.424833566839368,97.89675178177355,16.696751781773543,16.696751781773543,15.271918214934175
A7,8539.0,1421699.0,1239.0,2.482965931863728,74.1,73.17718010965855,-0.9228198903414436,0.9228198903414436,97.02483539845818,22.924835398458185,22.924835398458185,22.00201550811674
A7,8539.0,1421699.0,3429.0,6.871743486973948,44.6,47.30272721224095,2.702727212240952,2.702727212240952,91.98092053821081,47.38092053821081,47.38092053821081,44.67819332596986
A7,8539.0,1421699.0,7181.0,14.390781563126252,24.4,27.327129647230446,2.927129647230448,2.927129647230448,83.94135133014345,59.54135133014345,59.54135133014345,56.614221682913
A7,8539.0,1421699.0,27060.0,54.22845691382766,6.7,6.151777486243459,-0.5482225137565413,0.5482225137565413,51.70354425779501,45.003544257795006,45.003544257795006,44.455321744038464
F1,7481.0,878028.0,168.0,0.3366733466933868,91.3,89.66942989412398,-1.6305701058760178,1.6305701058760178,98.27898100289973,6.9789810028997294,6.9789810028997294,5.348410897023712
F1,7481.0,878028.0,340.0,0.6813627254509018,82.9,80.77663144432289,-2.123368555677118,2.123368555677118,96.54766643704075,13.64766643704074,13.64766643704074,11.524297881363623
F1,7481.0,878028.0,1118.0,2.2404809619238475,53.4,54.02066119376572,0.62066119376572,0.62066119376572,89.0896774980847,35.6896774980847,35.6896774980847,35.06901630431898
F1,7481.0,878028.0,5561.0,11.144288577154308,14.0,14.545706118669276,0.5457061186692762,0.5457061186692762,56.290923064611974,42.290923064611974,42.290923064611974,41.7452169459427
F9,6262.0,837359.0,316.0,0.6332665330661322,78.7,77.07382683127135,-1.6261731687286556,1.6261731687286556,94.16171901580532,15.461719015805315,15.461719015805315,13.83554584707666
F9,6262.0,837359.0,414.0,0.8296593186372746,72.8,71.65829294709359,-1.141707052906412,1.141707052906412,92.42131183698841,19.62131183698841,19.62131183698841,18.479604784082
F9,6262.0,837359.0,745.0,1.4929859719438878,56.5,57.27043874582901,0.7704387458290114,0.7704387458290114,86.77734664684844,30.277346646848443,30.277346646848443,29.50690790101943
F9,6262.0,837359.0,1478.0,2.961923847695391,35.3,38.12773133667634,2.827731336676344,2.827731336676344,75.47529961805793,40.175299618057934,40.175299618057934,37.34756828138159
F9,6262.0,837359.0,4075.0,8.16633266533066,14.1,14.941093792477144,0.8410937924771442,0.8410937924771442,46.035750494079544,31.935750494079542,31.935750494079542,31.094656701602396
F9,6262.0,837359.0,15525.0,31.112224448897795,3.7,2.637651063227361,-1.062348936772639,1.062348936772639,5.205408586837769,1.5054085868377687,1.5054085868377687,0.4430596500651296
F3,7318.0,803365.0,1836.0,3.67935871743487,33.1,35.75281743776428,2.652817437764277,2.652817437764277,79.66793772699012,46.56793772699012,46.56793772699012,43.91512028922584
F3,7318.0,803365.0,625.0,1.25250501002004,65.7,65.16253617926613,-0.5374638207338762,0.5374638207338762,92.55407666319326,26.854076663193254,26.854076663193254,26.316612842459378
F6,6722.0,1013406.0,360.0,0.7214428857715431,83.7,80.9724352106346,-2.7275647893654025,2.7275647893654025,95.67409335950032,11.974093359500316,11.974093359500316,9.246528570134913
F6,6722.0,1013406.0,725.0,1.4529058116232465,69.3,67.0341554125593,-2.2658445874406965,2.2658445874406965,91.47911737568937,22.179117375689373,22.179117375689373,19.913272788248676
F6,6722.0,1013406.0,1256.0,2.5170340681362724,53.1,52.71616189930492,-0.3838381006950797,0.3838381006950797,85.70252943350567,32.60252943350567,32.60252943350567,32.21869133281059
F6,6722.0,1013406.0,1840.0,3.687374749498998,41.1,41.95489551859469,0.854895518594688,0.854895518594688,79.76967386345059,38.66967386345059,38.66967386345059,37.8147783448559
F6,6722.0,1013406.0,2985.0,5.981963927855712,27.7,28.956547540602514,1.256547540602515,1.256547540602515,69.30318542216908,41.603185422169076,41.603185422169076,40.346637881566565
F6,6722.0,1013406.0,7592.0,15.214428857715433,11.5,10.984437085163254,-0.515562914836746,0.515562914836746,39.352678257501495,27.852678257501495,27.852678257501495,27.33711534266475
A9,7808.0,1453773.0,2090.0,4.188376753507014,60.9,58.26778980259297,-2.6322101974070264,2.6322101974070264,93.8871177514068,32.98711775140681,32.98711775140681,30.35490755399978
A9,7808.0,1453773.0,10797.0,21.6372745490982,17.1,16.56913289781516,-0.5308671021848426,0.5308671021848426,72.19079837547788,55.09079837547788,55.09079837547788,54.55993127329304
A7,8652.0,1166987.0,279.0,0.5591182364729459,91.7,90.67149430526824,-1.0285056947317486,1.0285056947317486,99.14862012741655,7.448620127416547,7.448620127416547,6.420114432684798
A7,8652.0,1166987.0,583.0,1.168336673346693,83.1,82.0183682566459,-1.0816317433540945,1.0816317433540945,98.22920146751379,15.129201467513795,15.129201467513795,14.0475697241597
A7,8652.0,1166987.0,1288.0,2.5811623246492985,65.7,66.41954439840246,0.7195443984024621,0.7195443984024621,96.12967610347918,30.42967610347918,30.42967610347918,29.71013170507672
A7,8652.0,1166987.0,2629.0,5.268537074148297,43.8,47.38320757506638,3.583207575066382,3.583207575066382,92.25917341143982,48.45917341143982,48.45917341143982,44.87596583637344
A7,8652.0,1166987.0,5567.0,11.156312625250502,23.6,27.127329125815,3.527329125814997,3.527329125814997,84.31532349468114,60.71532349468114,60.71532349468114,57.18799436886614
K7,4351.0,452208.0,53.0,0.1062124248496994,82.7,82.2655599684607,-0.434440031539296,0.434440031539296,91.96340681388335,9.26340681388335,9.26340681388335,8.828966782344054
