star_type,heat,predicted_heat,error,abs_error,pct_error
A2,71.0,73.67135033615344,2.671350336153438,2.671350336153438,3.7624652621879404
A2,63.4,67.48405368794063,4.084053687940632,4.084053687940632,6.441725059843269
A2,51.8,57.90662184050085,6.10662184050085,6.10662184050085,11.788845251932143
A2,35.0,42.66073798422545,7.660737984225449,7.660737984225449,21.88782281207271
A7,86.0,85.27453313471597,-0.7254668652840337,0.7254668652840337,0.8435661224232951
A7,75.4,75.61197539097621,0.2119753909762067,0.2119753909762067,0.28113447079072507
A7,73.5,73.95808279773964,0.4580827977396353,0.4580827977396353,0.6232419016865786
A7,39.0,43.99215394187174,4.9921539418717416,4.9921539418717416,12.800394722748054
A7,27.9,32.82626239750004,4.92626239750004,4.92626239750004,17.656854471326312
B8,93.8,92.16879350543915,-1.6312064945608429,1.6312064945608429,1.7390261136043101
B8,84.4,81.71246738830423,-2.6875326116957723,2.6875326116957723,3.184280345611104
B8,73.3,70.7754642926623,-2.524535707337691,2.524535707337691,3.4441141982778865
B8,65.1,63.37660576837698,-1.7233942316230113,1.7233942316230113,2.647302967162844
B8,46.2,46.652670193647005,0.4526701936470019,0.4526701936470019,0.9798056139545495
F7,86.5,83.79529486730775,-2.704705132692254,2.704705132692254,3.1268267429968257
F7,71.5,68.80961850728059,-2.6903814927194105,2.6903814927194105,3.7627713184886864
F7,51.7,51.127407806125134,-0.5725921938748684,0.5725921938748684,1.107528421421409
F7,44.2,44.40700015456375,0.2070001545637438,0.2070001545637438,0.46832614154693164
F7,24.4,25.284585508808703,0.8845855088087049,0.8845855088087049,3.6253504459373156
F7,15.2,15.096319759901863,-0.1036802400981358,0.1036802400981358,0.6821068427508934
A9,78.6,78.51799067395332,-0.0820093260466734,0.0820093260466734,0.1043375649448771
A9,77.7,77.70039969497175,0.0003996949717475,0.0003996949717475,0.0005144079430469755
A9,42.9,47.70134726734816,4.801347267348163,4.801347267348163,11.19195167214024
M2,98.3,97.91364304945373,-0.386356950546272,0.386356950546272,0.393038606862942
M2,52.4,49.90797212557083,-2.4920278744291693,2.4920278744291693,4.7557783863152086
M2,24.4,24.71098522445181,0.3109852244518123,0.3109852244518123,1.274529608409067
M0,91.0,87.86976242985367,-3.1302375701463347,3.1302375701463347,3.4398215056553125
M0,43.2,42.89919355604487,-0.3008064439551319,0.3008064439551319,0.6963112128591016
M0,8.0,8.20248987909706,0.2024898790970599,0.2024898790970599,2.5311234887132485
G9,96.8,97.47749169558932,0.6774916955893246,0.6774916955893246,0.6998881152782279
G9,84.4,88.23760333082026,3.837603330820258,3.837603330820258,4.5469233777491205
M0,90.4,90.60851467162324,0.2085146716232344,0.2085146716232344,0.23065782259207346
M2,85.1,89.79343843310073,4.693438433100738,4.693438433100738,5.515203799178306
M2,45.6,63.049872823978646,17.449872823978644,17.449872823978644,38.26726496486545
M1,44.8,53.73266474722129,8.932664747221295,8.932664747221295,19.93898381076182
M1,18.6,26.477850083487763,7.877850083487761,7.877850083487761,42.35403270692345
M1,8.5,12.08504973767877,3.5850497376787693,3.5850497376787693,42.17705573739728
F6,90.9,93.58008798643604,2.6800879864360354,2.6800879864360354,2.948391624242063
K4,89.6,83.8579679283536,-5.742032071646392,5.742032071646392,6.408517937105349
K4,70.8,62.27776879253365,-8.522231207466348,8.522231207466348,12.037049728059813
K4,65.7,71.09813074091291,5.3981307409129045,5.3981307409129045,8.216332938984634
K4,52.0,45.19782335534905,-6.802176644650949,6.802176644650949,13.081108932021055
K9,95.3,92.9768995608374,-2.3231004391626016,2.3231004391626016,2.43767097498699
K9,82.3,75.53861720244787,-6.76138279755213,6.76138279755213,8.21553195328327
K9,73.5,66.00444486245017,-7.495555137549829,7.495555137549829,10.198034200748067
K9,25.3,23.06594269202333,-2.2340573079766664,2.2340573079766664,8.830266039433464
K9,19.2,17.438884386351212,-1.761115613648787,1.761115613648787,9.172477154420767
F2,98.7,99.22742180908476,0.5274218090847569,0.5274218090847569,0.5343686008964103
F2,93.4,96.39095188496093,2.9909518849609213,2.9909518849609213,3.202303945354305
F2,91.5,95.34934457789169,3.849344577891685,3.849344577891685,4.206933964908945
F2,83.2,90.89513630772127,7.69513630772127,7.69513630772127,9.248961908318835
M4,64.6,48.93749260887197,-15.662507391128024,15.662507391128024,24.245367478526354
M4,20.3,13.23419210373439,-7.065807896265611,7.065807896265611,34.80693544958429
